id_estante;id_producto;cantidad
8793;LC189F3J7N98F;90
2681;0934T2C8H5DN9;34
6751;N011DAO8326P0;31
3912;SFE6FCHA1CD7A;42
4879;431N85DHA3Z41;31
905;J56NEN4602818;90
1956;99JH0O88HIR6A;54
9343;6I56MDE730VLB;65
7983;E0XJKQ6HMH333;87
1685;5125LQQUOJA6B;79
982;3M4K321002O90;17
2647;7U2X6DFULUZVI;72
3228;S66LO5G5W9WJ3;84
5018;0Z6M3OAU1P18H;45
4954;IF12T08L84HCL;64
7600;VJ8568ZO80LQ0;78
1768;9928LS364IIH8;91
7792;T6LUQB039PJQ5;66
9653;5J9E16DQ7L310;34
7382;TYPL8DM70QNYH;76
4050;892N10R2VNMX6;87
7792;IVVA4L6N379M2;84
2775;ZD52PS8SI4QTO;14
2243;J9W3JI6T205SN;65
6504;JN1EQU9E9K4AM;71
7426;13Y6ULE5551XY;50
4432;FI4K445G63765;76
8219;P98K5GO666564;45
6226;PY6J2D90EV8C0;56
6351;4DFV7U76L48X2;63
2689;QN825439OCZ4U;35
8543;D41VA6891O49W;11
5143;RT53N1PFUN1Y2;31
10095;FQ2Q0O3W6MP49;25
5271;Y64QU18127WQI;67
7903;HG51TDOQO4414;39
7608;99YW080Z28CM6;57
4956;V1282417940E1;16
5232;12WF0UNE5MX30;99
2543;YJYU06J9BKVFL;68
3722;2951CGVN5T58F;38
9925;KGH59V0Q8D4U8;27
8589;OR8K72D6422DY;79
4745;2D6RPDNP00Q94;34
7276;QPOBJB0135W3T;50
7033;03946CS27F1ED;10
5675;8MMA45ZC5X0X6;38
9847;T1Q23UB2ZR0Q6;52
5552;NK2F1762BVMS2;75
6075;HIWBU051ST7YR;94
5378;K2S9N22NT3Q49;98
9120;8A9KR1J84C9WN;58
2383;64366RU7A3UCK;87
7487;W65335079QL27;10
6718;DT7RN4V4895D4;94
4907;T95NZHRDMR5H1;32
8858;HCX8Q8QHL7518;82
7473;A8G733P9I1A08;43
6783;L5DG8FF6Y0B6F;25
5275;58JQFO61B6386;68
4188;S03XI33KX561L;73
5691;933M490416G9Q;14
8185;923PCDLCB08T1;62
9209;13V569M6F5231;51
4753;QLB807D3C23YE;92
5237;DM5Z23UV7C20O;49
6079;0X6UPAF9C35W3;18
7086;ZGJSWH8V4C57N;58
7926;E0XRD64UJ990N;67
6351;A86Q236F5U997;98
6079;FI4K445G63765;54
8921;08FMH6T090V1Z;13
8320;LH5EU8XJ9B7BH;89
2082;3EF5WF632VB67;28
6473;KZDSF8083G1D8;78
8606;N0TCP63S2QPGE;72
2269;I4D6LC16U791F;80
6074;X5TCRWRQFK80D;52
7022;94O5LCKJJ8I7K;39
5620;51TYRS4NP58MV;52
5662;C255316ZL15FK;37
8396;F6UK4MG2014YN;71
6530;0288023DA19K9;96
7298;3AT1DW8ZX8766;74
5722;Q7R1K294262ZA;89
6196;27W4S5UU9O330;15
2319;0TCVFCC6A9112;89
3693;881V2TZE3LX90;91
6008;P3F1I1F94E0Q0;51
4527;P52DS5K1J57E0;10
2446;70G1FN833I596;56
5995;NV7KJ5539XT6B;76
4508;QV3W32AJN5NC5;38
4283;Z2AWC55NWPQMQ;31
2516;17PPK90KE506H;52
4970;CYTSU74NWJ2QK;53
7473;JAMOX14514WCK;37
6052;79799L90JSS8J;76
7608;2B179002C9NGH;41
7815;OI7VH8SM4Q23G;76
3183;APHESP2XU8K7H;96
7207;892N10R2VNMX6;52
3183;1SS5K3SYIH0V9;10
8028;98E1XU97X6L7A;35
9813;N5S7K970723E0;88
8734;62K955FP7U26F;34
5237;5SM2R5LFIVBD9;11
6716;H20N3Z7632D16;84
8177;E556HH6YM4FD0;21
6521;0V41LM03J7OXB;28
4235;5GU0L0ZPH6159;16
2937;9893QT8DF8P7W;16
6966;07890037ZOZ6P;51
2647;8BX7RB578ENFA;64
2036;7238363PE6VZ2;27
5557;3523IAYW3UQT8;42
6507;3L768N87487SH;46
5317;7EDUVN98G253H;62
3228;GD315Y96S5KQR;75
8354;27PH3SXIE5O0R;17
5384;S5NAZF7579F7F;32
9653;PD832815MI9RR;48
5320;907GS182V2CA9;49
6351;X1CES710BXH9J;100
5717;8HOI3D885V0G6;95
2907;26E3D8XK005W9;21
6455;26T1W5825141V;77
8035;28J45T8YWTV6L;90
7638;X45Q01QXFFHY2;94
9506;U78R0JA6N1999;71
5421;9XWB21JQ4C6VI;42
6468;68Q79R7A5B9XJ;41
6119;I3150Y8INAE2I;21
8680;Y58O17TN576KR;29
6867;FYPH11L1T79Q6;73
6644;58S050XYE1BFC;16
9864;3EK8V0LJ16116;64
2535;5N6IS2G6Y54B6;63
1789;R4939V65IS5P6;80
5558;AI279SUE4Y719;26
5732;OB6JF4437AESV;77
2856;38X6W952ZX88H;20
7815;514X3B594426C;94
7929;1W21B9IACY757;45
5647;MF020A19BA72N;46
5901;F24ST26UP7D9R;57
4938;SF97S3774560E;50
7497;Q2TSS6X0RTV8E;91
2483;661YXK65T35U3;50
5461;ZLB3I48V0S056;57
6196;K7197YM450GR2;98
5292;511P2297N458M;91
8314;K659652W6830I;54
6625;X49X5C91I9940;38
7225;06159CET31T23;28
2309;BXG561ANK73W9;32
2894;78J8Z25DX95R1;11
8885;0HJ5B19F5M2NK;25
3077;2009O34N7Q5S1;29
2152;69B78Q02D4160;82
2935;55965CRFO5A06;42
5643;AGTID67TG8TV1;71
8219;J4PPH8ENJ5G4W;91
2319;4NZ92W0031C1B;10
9753;9M3600QKS63T4;15
7081;X4XUE9T00727Z;52
8825;42YT16N052UXW;78
9400;96WK17SAQ4261;28
3077;51337808WJKHD;27
8993;QPSHP8JV8RRBJ;65
5717;595UHC68UOFFH;93
9264;96JI1YIHT969U;56
8885;VMV8753Y0890H;67
8321;J3RH5WLPMQAG1;61
9506;887E0HXQYHU40;67
7176;5MJ8103S4T0P2;39
5421;0W2X29119E6YZ;70
3072;NB33X3Y550Q3K;62
3239;J0BBM9LS470SQ;50
7983;45214IPYOYKE5;33
2090;1PP5T31HKM0L3;66
10095;528RMJYVRNKCC;52
2985;WNHS2OS3Y5VDG;25
5731;82BJSD3GULL26;59
7551;6Z10RY6QG6S4H;15
2894;JT8U7V4R1RR8E;51
6498;WEPGC1A8YCR8P;14
4979;0RM86WUI6NY2H;91
2376;QRWV899346Y16;92
7025;8078CTUHH51CY;73
5649;9ZZVFO15JH527;13
4667;G41774A5CIJ40;78
8909;ZFEM4I49F13P9;20
6424;2OB6I332F0B03;78
7770;3863455IH961D;30
5276;G8CXLE1Y5LZWV;51
4267;OQH373A1JD71Q;82
7298;GB87C5G2H1SNO;59
7727;AR164Q5NUOESH;52
6504;K4JID4BU6M24C;56
8254;1KI0D2EY3U9A9;20
5237;9F78Q0ZN57WEZ;23
6412;BR5XT3BSY3L4Y;49
2839;H2P7M226496VE;85
5176;834S72188490O;51
4684;P7873K3U84A01;68
7256;8LKY8E88I7ZLQ;76
8215;89I8K57D6OE39;94
8996;TPFV5173FEG74;46
5495;P83A0UJC8H7CQ;21
7020;XT1LK026M4O3X;45
9842;1061PE15QM4J7;76
6226;F93EF55P82AZA;29
8302;1KLHG62VF07KZ;18
2935;8ZMV99MT84188;20
3072;X9B9ABLM4WV0I;40
5468;627Y35T45332T;24
6483;40EI892TFL4Y2;83
7033;YA835T54T27UA;40
8718;T4RTN5D3K8JJL;95
5439;Y9M9849615940;46
7709;F5O6337I4034X;41
2394;9LJVD91K7N8ZD;17
2855;L9YT8T8HO480D;31
5919;9V958Q3H3GTT8;91
4242;P4376NZKI153Y;96
2504;NK2F1762BVMS2;14
6233;0090I0K1Y7827;12
5046;7CYK6SW588EP7;98
8751;IOBV0QFTE27Y9;11
7850;Q7R1K294262ZA;65
9191;SDVM7H5148ARL;31
5403;030388JEC013I;91
8268;A5TO3012STMD8;45
8155;ZH4YPTB32668C;93
6772;95V2EJ789J9R0;19
8292;Q36VWZXLF45XY;64
7252;W9F4D7X9Y5WXR;40
2632;616X231C1OQYX;98
9808;3HS4TUDP57356;87
8651;JOM6M4235V29I;99
7354;6G11CGK9DRUUJ;16
4267;K53I9MBRJWRLG;76
5495;U1GM3736N2K0F;24
2618;67GGT6S57X9NB;88
4372;I0X6RNP5UVRJ6;76
8384;4N338R7P18364;85
5105;L2XSZ91F3U58A;58
8710;AQ42VGZ6FGZH5;50
8526;OOH94BS7HC8L1;60
7410;IH2QNK85R13ID;23
4719;5764M160U0123;78
7600;81D4E5DS99HC9;86
9932;E9AWQ77KB9136;59
4684;2MDK156YJ0286;96
9406;9M7SPR3FX5NSK;39
6493;75SNSDWI0MIN7;24
5307;70WX3Q2RXOC33;53
2927;74JH9O5W9Y481;78
5722;E11H2RF4YLB6B;57
6918;806Q4IABO1C76;35
9965;R81Q1X6KXB091;17
6908;21IHYSL4E7N8I;68
9319;6FJ4PN2V220N2;40
8384;330C4Q21D1S4L;28
6549;6G2KD5C1HUXPY;17
8224;4H9MX45TN991Z;79
8643;I5J8U6O6N6WH1;86
9827;0WUA54FY1HC58;48
6882;YBG2JP69M06TD;13
4237;2PO8SYBE9J6TG;100
8302;SFE6FCHA1CD7A;80
6689;9ID4XFSB42R3R;48
6505;7RDU42JZY4607;100
2896;26450098NPT2W;100
5494;S8T349QC76SCN;40
7899;F4YFCE1BEHYVJ;13
6492;2G7NO153S1N7C;43
8699;7879Z4FB1G5VX;21
3015;J91TLH3W74TES;10
4283;72UL8P54NQEMQ;15
7434;TGY0S1U9MOOE3;20
7176;26E3D8XK005W9;24
6873;2G5GC7A48O46C;67
5588;B82E3N4SIP7BD;70
5031;B0P0Z2IFH1COM;20
8693;78DE2KB79Z48T;41
6844;OSI4F8Z266V6Z;92
7719;RSN2X29863291;50
5482;21Q3LOQ6ZESZD;24
3241;5K5V24TYU9VM0;76
6901;35ZX38IK9TGB5;95
7321;DPDD4WDC282LH;100
8653;JX13XB8IG44NM;18
6867;7R18YUKRS1LKW;23
2987;OB5I4OO22FL1L;65
5817;Q76S9OV26BHF9;77
4684;6D37LV123IO05;16
4535;618QN42HPH355;44
7248;98E1XU97X6L7A;26
4669;95O8UZ980Y0Q2;64
8825;424X38SQKR4G0;56
6504;72O0C116O52IX;90
9209;24C7A65GRV1W2;30
8285;9V2C5AUMN5J3S;27
6873;ZBDFKXSOG88GN;100
3225;S7686Q437T3L0;26
5817;NIWW77S5NM187;18
5970;59A1CP716NB99;15
8125;JI97N0O20R544;47
8155;PWR89121534FQ;14
8748;2N0KQ9W6M8935;16
8004;WCDACF0MUTBAT;79
3124;60LQ32591RH94;64
6108;31652Y1O336D2;14
8805;VJ8568ZO80LQ0;66
5378;9755984ELVK07;80
5417;RFX7Y19NCBQ9N;91
8588;3L768N87487SH;86
4386;KW923MND8CF2S;16
4423;1ZXWW29U9JOHO;81
8734;C65S34756M78I;83
5817;N4CLNT4X9S373;48
4283;5Y5J73808J53S;72
7709;605933W049039;75
3241;1OS29B1N475UK;27
10006;6N79DICS68U93;61
7894;EZC1P1MG7D8H5;72
7749;MEEHN342196W7;19
5291;PAM24XWB10VN7;35
8326;B5630P0105J0P;37
5208;3SFL034XJBJZD;47
6505;4FF18971C124H;57
8120;8LN978CR1Y253;37
7637;5SA0Z86R82LU4;66
4249;N00350OZF9JMN;98
9191;A7F9K5ALO1E3P;58
6504;RKIOD33G97AD7;73
9506;JNU61867HM472;14
8268;E22Y6WCJ5X427;37
5304;26NHJ995I7MRE;66
6690;R044HNX521880;99
9115;4K9OM33BQL32Y;21
4233;Z2C47L68OQG46;76
6052;UCVZZ714T2Y66;65
4951;V7GDA13AN8SWQ;66
9443;2XCAG9YWM2876;56
6198;78KTVX9HD9HZ7;22
5384;C02GD9GGH4Q05;99
4249;UI3S555U74751;31
5947;S9Q4Q3EG3C70E;76
9755;1HYU8GSR7ZFH4;30
7349;83A39B4K7PX33;74
9896;I42SFBY3F18YJ;87
8781;R008G751RB74J;48
4687;VBW9K4WRB62V5;16
4701;35SR5WXE7X451;35
7252;CWRA711F02955;80
7480;3E26V87K97S28;13
6473;PUH6Z25398938;14
5717;XI66Z46Y73Q09;91
4266;GO67Y90XE8OMC;27
4283;96ZD5I5865396;93
9334;V6D99P8IEI816;21
6511;5Y1E81679IEF9;71
6284;208NY4TJFY0H4;26
7382;7G9Z11UKO975J;76
6724;PBJA8UWOL7HO8;66
9579;FAY96BRM6L911;16
9579;017J43Q62Y2I8;73
4652;GUR867D73Y01L;62
7487;MDAJJ64U93ZRY;23
4545;UF33LYY9TVAUM;83
6740;7TIA8UDG3MK8P;72
9334;J18D3R0J3AM15;99
4454;9810HW78778L5;82
4954;10A2V95IZK845;93
7929;RUYRU7U3S3H7R;41
8190;B874KN7W410DE;52
6703;67GGT6S57X9NB;96
9454;OS310CQ5W946J;61
6033;L43N11W291PAJ;22
8467;MEEHN342196W7;10
6692;K1WU713VB6YCN;71
7473;3QGDC19EN0EN7;42
10100;W08WZI45AAMV8;38
6638;5Q63LK26S2E1J;65
7741;4IQ16602BN757;22
4603;10ZR5VCC5FM06;94
7741;2CQ6QUW07GNA7;36
7926;24E523D1HH02U;72
8120;MVD27941F5H7F;10
4266;N00350OZF9JMN;62
8693;X3RP52T20681G;18
9759;8XXYRZSTW335A;54
6530;R4G8Z22330U59;35
7834;N2MPPKDXP1E8E;11
7174;S1HQMF6T3R2P2;73
8254;57QY72AEEVQON;52
6549;60ED721H46CGK;54
5524;QXGW44Z9003KF;54
4617;KXID2862YF358;74
7473;3ZB17OJ9Q2N2H;59
8468;43I66U82M40CM;40
5757;DHR9P8P8CX5PM;39
4719;55P43RD51SG4L;15
7809;M6J4CHDJLPC5S;10
7461;BTN6QD7N06340;70
7575;3KVVZ706QP71X;65
5508;84KK6E640ZS41;87
6507;H7I7L5I818940;100
6688;NLIU6QS7A6B6F;58
9712;DK09FUO20K3F2;74
5099;00EK11523E62H;64
7471;ZIV4J2YU561EC;55
4761;7YZ8YZSZ92JW0;85
6740;CKGU6460Y7YY1;97
4266;545219A4Z458W;73
8155;P33RO9N24H0RJ;78
8820;VF621XA7S221T;67
7762;X4XUE9T00727Z;78
8719;0631UBT562H0T;13
7801;H96A5HDS3G4N2;75
6966;557S0FV640L0M;88
4386;GJ5J5J6PWR049;74
4237;FJD053D8D85T2;31
6680;5PCM9S4HVWD8H;30
4603;42YT16N052UXW;49
7215;V45SSKD1AFBY2;68
9129;1QCZ00OJ80VG1;48
4768;D85SP7L35629B;28
8224;544P8NP7E95SB;24
8467;605933W049039;22
6953;D3L4P5V55WTT8;95
4768;XF1P3HL1W7Z68;42
8701;30311MJ890C13;15
6772;DB41S2QSL7470;10
7195;OXZ42T5Z86G64;88
8342;BD315V2L2O5DT;26
8447;R4129N87L5RMQ;60
5034;DC1B771TRKIBZ;88
8447;3VPI38242HQYW;44
5817;WMQGL7E6289B4;83
9215;7XE05FR842817;53
8185;53V4M3UI7XRS1;14
9191;3QN2O8567G06Y;45
9759;F2X5LH8LHQ316;44
8476;D80F1D58RI057;31
7461;H7SX0G3LT12L1;52
7465;N51BN075F73LG;60
8346;F7L3107XJG76P;21
4644;O441G24ULM9UC;30
9188;9U77H09U19QQK;58
6680;TV991YS5K128M;80
7761;0JJSK1UDW5H9D;57
7410;AM9CL48UBA8L6;41
6979;SNOZJS2L5341X;90
9243;1QCZ00OJ80VG1;48
8291;8391PXU641NA1;98
8302;JMSSRYN901DG6;12
6787;80NMR4CN033R9;57
4535;K8400ZV9HP4XH;67
9619;Y4X1ZQ6CL49C3;30
4808;0JI6EI3766C79;63
8751;9IEPM7LLI6M98;61
9406;AG0Z6158470A4;41
9343;711KOX4087V44;14
8651;9G04OB229ST26;35
8329;7DB9O0UHR6717;100
7530;3P7Y3V885WN3B;55
7410;9T49NON928U1S;66
7349;CT456QOV53O7F;83
6751;AN4K8L79714JQ;99
9678;47ZFV4I6U3CO9;25
5119;52MSTYC673G84;37
7508;N2JHJ3O63U297;24
7761;MXF5RQ855YOU9;22
8543;0F73ZU481AT42;92
9842;27U6PC1233C1X;12
7413;8A1B5J68E47N7;68
4853;2FXOMKX8M0574;33
4970;IKN97Z12Q5AD0;20
9342;W7294SRLU652O;63
7382;U1ZX6ME0IXIY8;17
9370;SFE6FCHA1CD7A;20
9188;186349CK8K535;12
4979;WF716X133I5M9;53
7052;2939647A6Q6L3;60
4667;PTJ5S6348DM4W;65
7764;P1A7214I7055E;96
6940;Q6BV82QV1U609;23
7033;97C77TCHY2N7N;18
6737;GC20W791757BY;30
9400;RNNOFRMH9AI6K;79
7195;S3B6LCQ6QHG3G;15
5088;BK4UA6C596M2F;14
7225;AX6WQ21NA674L;12
9191;Z5G40391K05FF;91
8235;C28J05UM119NN;79
9264;1KJ331A381651;67
8268;47O8VXE860AJZ;89
8751;5X6FRI872XPLU;33
6997;SJJYTG2674QY4;36
8632;8ZMV99MT84188;88
7465;0A945JZZYI106;89
6716;4NPMBW1G63NG5;26
6690;42UPIGA4S0L08;33
9814;Z6A0K146DA58D;64
8137;UD3PUU33HF5J2;33
5105;A7F9K5ALO1E3P;63
8993;FFKH307GUX991;50
5102;O1X8KRTGCBW35;24
7983;5C1RT0F5RVGR9;15
8572;Z8K4X0338N767;47
8821;40N4BM14RSIB5;58
5020;GX5970S0W2X75;92
4976;5F8F3PM9R5M04;16
6718;Q6VEXYJ391N9B;32
9112;MVZV0716XT36N;84
9452;G3584GC3S9UGE;20
9454;099615185LBDW;28
9965;XZ3NE6V1L4P43;80
4687;K60Q13W66F468;79
5151;016FE7VL1E9RA;49
9734;Q670US2WBE2R1;33
7770;W8I16F6LP70JQ;50
7646;7XKBL6N02X9XO;65
6974;TOQGF13FFW6HM;16
8320;7DC3P7553JK4W;95
9146;0P75P5U1JIZ7K;18
8008;CX7820YCB2020;76
8606;BM82GMF30H0R6;20
9817;8703JI9I81V51;61
8709;EV64O432W1TRH;60
9741;2PZ084K0SU5NO;37
8259;W1128VK6CO5H7;91
7366;123BTC6W53231;16
7207;NB487VPP321IF;10
4979;S58W703Z095L5;80
7921;19NB9J8535L77;40
7195;P40OL1730NZ7H;31
9755;46020O6X78645;45
5102;52Y0406821M53;83
6728;R6Y44W8Z9ELXU;33
9759;760OW4S2ZK27B;32
10029;73JNMW5E25CPB;92
6997;786SO2039VW41;23
8952;2U1FJJ0F97UI5;17
7497;N4O46O194NQR6;90
6772;7F0F2NPR9BT0Z;12
8744;7V1N1E97DNCM9;90
6471;O0OXTFRH8593F;30
4947;TDD69UB7L9I4E;93
7662;UP87MVZ4ADNXE;79
5088;YA6I978UDSU48;90
8347;T2ZN04K239A76;57
8285;2A33048Y9XGM4;48
7899;3UD15740A0GG9;75
7749;Z74N259L3YVSK;87
7789;74VHRYYPJD005;82
5099;3ZB17OJ9Q2N2H;60
8526;9MCEU6HN08J75;64
7421;CWNW9557L4QCU;29
7884;D0HP28E1168Q9;99
5021;SB8X3LGJIPUKW;31
5073;71451I2KL9OM3;68
7341;CK21J516Q7K4Q;21
6505;88354E7MED6O4;19
8653;OIXE31HUI523S;89
7252;HWDFDXXBZI5B5;68
7086;CN601O42SV61S;33
8410;78W8Z15UJ5KD3;38
10098;I254I97XQADDU;49
7475;8608E0ZGS6A94;57
9452;S94MBMW5E9813;63
9380;8M0F2GR65Q2BK;84
6688;8TTATISLK7A30;58
7156;56613T24ZPO7C;46
6473;3520Q4072ZFM6;96
8651;T1144V9R67EYE;86
7968;26YGGEJV7Y61I;71
7671;1ZU50278174WH;73
9322;6J376KQ238W45;14
8748;ITS44727B5618;85
10029;62FZNQ8JLO1QA;53
8643;5NP886HBX87A5;18
8347;A06O49A484HDB;62
8254;O69S719D042Z8;19
8848;KF8Q355O0GS98;40
7749;A769X74666UBL;97
6503;088O6CY6TEL1R;85
7601;S19BB82ZQV2WC;42
9149;N2MPPKDXP1E8E;75
9847;GP6BGH1J83JSA;63
7809;F01GFHQVP183C;33
7022;4TL9VQE85PZNW;39
10100;S2B9NXASEQG13;16
9438;5M58U45045RJK;100
6918;T906980544DZM;76
9753;1K0Z518L7FI17;99
8643;2HLXUS5M7Z5R2;89
8649;1043N93D05900;33
9370;QAKLQ7G5HVK6J;44
8347;J5F7W5BIW6QBU;64
9753;5DLKYC8443Q7Y;82
7196;SJ236G8TT7HY6;77
9812;X3RP52T20681G;92
7052;O726Y5156I9W0;51
7461;24C7A65GRV1W2;20
6587;62QV5XJRT476E;79
9235;86C21AFFU3888;40
7465;7E23AWOFC497P;29
7468;AZ1610285SFUT;35
6997;2U4A2ZN8K6440;56
7426;S62AZ5SG1UOH7;44
6625;93V59Z2YMZ8BM;86
6455;68UK99HZ05Y5K;70
6692;7278D14E0DMKV;21
9243;VV94H738CYWS8;53
8782;YBG2JP69M06TD;73
9633;IAPG33K09H9OK;56
8342;HMN06GZH25B4L;73
7028;0H7501887Y55X;40
8825;MJY8UV6CE3UY0;17
6953;UP87MVZ4ADNXE;73
7413;66708O0117LKU;85
7049;4LW09GEP2807M;46
8653;87CGG8K31XN6P;81
8993;8K8AGLG8GG108;17
9868;Q58444KLYIW6Y;24
7081;P9X3JROT3FPQ9;37
6448;34ZZ4WA4ALX8O;38
9188;CZ5EY3538AV70;33
7045;02K943YSMFRN6;28
6737;NTQO2E80H8L53;50
6424;WW3G00R6SYLWB;67
6451;33457217V2ZS5;100
7487;1TJ3DEM0PE9X4;44
7899;9HECQYW35UJ39;29
9443;8E9LSG8NGCLUR;32
7156;T1144V9R67EYE;91
6962;042RP4XB7HYSP;97
9761;L89K52YG84361;23
6908;G748W853BQ6E9;86
8643;8P3ZR771J9MLD;48
9842;6D9140GH1GUY2;11
7939;91XT07Z90Y7U6;38
7894;08FMH6T090V1Z;70
6448;4SYYR72M4B2F8;20
8751;9HV63O4K688RS;37
8773;6F131HY5FM6O9;47
9406;TZ8B0NTTHEX10;41
9759;2BTO5VNJ2LN4F;21
9633;DEPE6RW2XOZX5;97
7081;T0648V980819V;44
6973;8ZKFJXO2UG35V;37
9939;GE1R2NJPC5057;10
7719;GWR2LS0EIQ0C4;75
9435;2K9GKVP5J31G4;13
6680;W81PX6E581FI8;76
7749;9T70W66GT73DU;33
8825;5KEED8KO6RXT3;45
7156;N4J894839GJZX;83
7968;5I8DWHE7H0CT2;99
9812;83O2H3W7HRGX7;96
7828;760OW4S2ZK27B;82
9209;E18W16TSD1PTB;61
7817;08FMH6T090V1Z;26
9755;84TM36YEQDU35;11
7461;8HK761P7623L4;47
8858;Y16H427F7CXB0;51
6468;H88P05U1V9M7I;34
